1,2,3,4,t,6,g,8,col_value
markov,N:,3,t:,0,g:,0.36,pingjunzhi:,1.02745E-04
markov,N:,3,t:,0,g:,0.365,pingjunzhi:,1.04745E-04
markov,N:,3,t:,0,g:,0.37,pingjunzhi:,9.36213E-05
markov,N:,3,t:,0,g:,0.375,pingjunzhi:,9.53629E-05
markov,N:,3,t:,0,g:,0.38,pingjunzhi:,9.68367E-05
markov,N:,3,t:,0,g:,0.385,pingjunzhi:,1.03756E-04
markov,N:,3,t:,0,g:,0.39,pingjunzhi:,1.02465E-04
markov,N:,3,t:,0,g:,0.395,pingjunzhi:,1.05809E-04
markov,N:,3,t:,0,g:,0.4,pingjunzhi:,1.19105E-04
markov,N:,3,t:,0.005,g:,0,pingjunzhi:,5.92265E-08
markov,N:,3,t:,0.005,g:,0.005,pingjunzhi:,6.14416E-08
markov,N:,3,t:,0.005,g:,0.01,pingjunzhi:,1.21911E-07
markov,N:,3,t:,0.005,g:,0.015,pingjunzhi:,2.15126E-07
markov,N:,3,t:,0.005,g:,0.02,pingjunzhi:,3.51522E-07
markov,N:,3,t:,0.005,g:,0.025,pingjunzhi:,4.45200E-07
markov,N:,3,t:,0.005,g:,0.03,pingjunzhi:,7.56053E-07
markov,N:,3,t:,0.005,g:,0.035,pingjunzhi:,9.16770E-07
markov,N:,3,t:,0.005,g:,0.04,pingjunzhi:,1.39422E-06
markov,N:,3,t:,0.005,g:,0.045,pingjunzhi:,1.49327E-06
markov,N:,3,t:,0.005,g:,0.05,pingjunzhi:,1.76098E-06
markov,N:,3,t:,0.005,g:,0.055,pingjunzhi:,2.11260E-06
markov,N:,3,t:,0.005,g:,0.06,pingjunzhi:,2.85574E-06
markov,N:,3,t:,0.005,g:,0.065,pingjunzhi:,3.28445E-06
markov,N:,3,t:,0.005,g:,0.07,pingjunzhi:,3.59633E-06
markov,N:,3,t:,0.005,g:,0.075,pingjunzhi:,3.90576E-06
markov,N:,3,t:,0.005,g:,0.08,pingjunzhi:,4.50736E-06
markov,N:,3,t:,0.005,g:,0.085,pingjunzhi:,4.60903E-06
markov,N:,3,t:,0.005,g:,0.09,pingjunzhi:,6.12500E-06
markov,N:,3,t:,0.005,g:,0.095,pingjunzhi:,7.07654E-06
