1,2,3,4,5,6,7,8,9,10,value
non-markov,N:,3,t:,0,g:,0.1,phi:,0.196,pingjunzhi:,0.001534367
non-markov,N:,3,t:,0,g:,0.1,phi:,0.2,pingjunzhi:,0.001686655
non-markov,N:,3,t:,0,g:,0.1,phi:,0.204,pingjunzhi:,0.001609618
non-markov,N:,3,t:,0,g:,0.1,phi:,0.208,pingjunzhi:,0.001632748
non-markov,N:,3,t:,0,g:,0.1,phi:,0.212,pingjunzhi:,0.001795069
non-markov,N:,3,t:,0,g:,0.1,phi:,0.216,pingjunzhi:,0.001926967
non-markov,N:,3,t:,0,g:,0.1,phi:,0.22,pingjunzhi:,0.001899368
non-markov,N:,3,t:,0,g:,0.1,phi:,0.224,pingjunzhi:,0.001828831
non-markov,N:,3,t:,0,g:,0.1,phi:,0.228,pingjunzhi:,0.001654606
non-markov,N:,3,t:,0,g:,0.1,phi:,0.232,pingjunzhi:,0.002028845
non-markov,N:,3,t:,0,g:,0.1,phi:,0.236,pingjunzhi:,0.001846357
non-markov,N:,3,t:,0,g:,0.1,phi:,0.24,pingjunzhi:,0.002127193
non-markov,N:,3,t:,0,g:,0.1,phi:,0.244,pingjunzhi:,0.002257071
non-markov,N:,3,t:,0,g:,0.1,phi:,0.248,pingjunzhi:,0.001932557
non-markov,N:,3,t:,0,g:,0.1,phi:,0.252,pingjunzhi:,0.00253888
non-markov,N:,3,t:,0,g:,0.1,phi:,0.256,pingjunzhi:,0.002382938
non-markov,N:,3,t:,0,g:,0.1,phi:,0.26,pingjunzhi:,0.001995
non-markov,N:,3,t:,0,g:,0.1,phi:,0.264,pingjunzhi:,0.002526929
non-markov,N:,3,t:,0,g:,0.1,phi:,0.268,pingjunzhi:,0.002635431
non-markov,N:,3,t:,0,g:,0.1,phi:,0.272,pingjunzhi:,0.002442795
non-markov,N:,3,t:,0,g:,0.1,phi:,0.276,pingjunzhi:,0.002540841
non-markov,N:,3,t:,0,g:,0.1,phi:,0.28,pingjunzhi:,0.002559382
non-markov,N:,3,t:,0,g:,0.1,phi:,0.284,pingjunzhi:,0.003093552
non-markov,N:,3,t:,0,g:,0.1,phi:,0.288,pingjunzhi:,0.00271478
non-markov,N:,3,t:,0,g:,0.1,phi:,0.292,pingjunzhi:,0.002842435
non-markov,N:,3,t:,0,g:,0.1,phi:,0.296,pingjunzhi:,0.003200262
non-markov,N:,3,t:,0,g:,0.1,phi:,0.3,pingjunzhi:,0.002847018
non-markov,N:,3,t:,0.1,g:,0,phi:,0,pingjunzhi:,0.008775112
non-markov,N:,3,t:,0.1,g:,0,phi:,0.004,pingjunzhi:,0.006658687
non-markov,N:,3,t:,0.1,g:,0,phi:,0.008,pingjunzhi:,0.006975296
non-markov,N:,3,t:,0.1,g:,0,phi:,0.012,pingjunzhi:,0.007362079
non-markov,N:,3,t:,0.1,g:,0,phi:,0.016,pingjunzhi:,0.007137309
non-markov,N:,3,t:,0.1,g:,0,phi:,0.02,pingjunzhi:,0.007590062
non-markov,N:,3,t:,0.1,g:,0,phi:,0.024,pingjunzhi:,0.008095069
non-markov,N:,3,t:,0.1,g:,0,phi:,0.028,pingjunzhi:,0.007997646
non-markov,N:,3,t:,0.1,g:,0,phi:,0.032,pingjunzhi:,0.007506027
non-markov,N:,3,t:,0.1,g:,0,phi:,0.036,pingjunzhi:,0.007134926
