1,2,3,4,5,6,7,8,9,10,,,value
markov,N:,3,t:,0.1,g:,0,phi:,0.205,pingjunzhi:,,,5.04267E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.21,pingjunzhi:,,,4.69394E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.215,pingjunzhi:,,,4.91987E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.22,pingjunzhi:,,,4.81999E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.225,pingjunzhi:,,,6.00965E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.23,pingjunzhi:,,,5.49782E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.235,pingjunzhi:,,,5.68645E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.24,pingjunzhi:,,,6.47364E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.245,pingjunzhi:,,,5.55007E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.25,pingjunzhi:,,,7.0109E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.255,pingjunzhi:,,,5.88608E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.26,pingjunzhi:,,,5.78191E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.265,pingjunzhi:,,,6.71162E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.27,pingjunzhi:,,,6.82248E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.275,pingjunzhi:,,,6.77164E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.28,pingjunzhi:,,,9.26175E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.285,pingjunzhi:,,,7.10985E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.29,pingjunzhi:,,,7.86659E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.295,pingjunzhi:,,,7.43076E-05
markov,N:,3,t:,0.1,g:,0,phi:,0.3,pingjunzhi:,,,9.61047E-05
