col1,col2,col3,col4,t,col6,g,col8,col_value
non-markov,N:,3,t:,0.008,g:,0.036,pingjunzhi:,0.000177663
non-markov,N:,3,t:,0.008,g:,0.04,pingjunzhi:,0.000227482
non-markov,N:,3,t:,0.008,g:,0.044,pingjunzhi:,0.000254409
non-markov,N:,3,t:,0.008,g:,0.048,pingjunzhi:,0.000254106
non-markov,N:,3,t:,0.008,g:,0.052,pingjunzhi:,0.000249789
non-markov,N:,3,t:,0.008,g:,0.056,pingjunzhi:,0.000327942
non-markov,N:,3,t:,0.008,g:,0.06,pingjunzhi:,0.000271458
non-markov,N:,3,t:,0.008,g:,0.064,pingjunzhi:,0.000292992
non-markov,N:,3,t:,0.008,g:,0.068,pingjunzhi:,0.000403638
non-markov,N:,3,t:,0.008,g:,0.072,pingjunzhi:,0.00035604
non-markov,N:,3,t:,0.008,g:,0.076,pingjunzhi:,0.000292112
non-markov,N:,3,t:,0.008,g:,0.08,pingjunzhi:,0.000350933
non-markov,N:,3,t:,0.008,g:,0.084,pingjunzhi:,0.00038532
non-markov,N:,3,t:,0.008,g:,0.088,pingjunzhi:,0.000328557
non-markov,N:,3,t:,0.008,g:,0.092,pingjunzhi:,0.000429627
non-markov,N:,3,t:,0.008,g:,0.096,pingjunzhi:,0.000404685
non-markov,N:,3,t:,0.008,g:,0.1,pingjunzhi:,0.000460272
non-markov,N:,3,t:,0.008,g:,0.104,pingjunzhi:,0.000371807
non-markov,N:,3,t:,0.008,g:,0.108,pingjunzhi:,0.000475091
non-markov,N:,3,t:,0.008,g:,0.112,pingjunzhi:,0.00059399
non-markov,N:,3,t:,0.008,g:,0.116,pingjunzhi:,0.000453675
non-markov,N:,3,t:,0.008,g:,0.12,pingjunzhi:,0.000538287
non-markov,N:,3,t:,0.008,g:,0.124,pingjunzhi:,0.000573969
non-markov,N:,3,t:,0.008,g:,0.128,pingjunzhi:,0.000603529
non-markov,N:,3,t:,0.008,g:,0.132,pingjunzhi:,0.000629489
non-markov,N:,3,t:,0.008,g:,0.136,pingjunzhi:,0.000529287
non-markov,N:,3,t:,0.008,g:,0.14,pingjunzhi:,0.000578311
non-markov,N:,3,t:,0.008,g:,0.144,pingjunzhi:,0.000801257
non-markov,N:,3,t:,0.008,g:,0.148,pingjunzhi:,0.000621233
non-markov,N:,3,t:,0.008,g:,0.152,pingjunzhi:,0.000627084
non-markov,N:,3,t:,0.008,g:,0.156,pingjunzhi:,0.000587595
non-markov,N:,3,t:,0.008,g:,0.16,pingjunzhi:,0.000838003
non-markov,N:,3,t:,0.008,g:,0.164,pingjunzhi:,0.001073291
non-markov,N:,3,t:,0.008,g:,0.168,pingjunzhi:,0.001004167
non-markov,N:,3,t:,0.008,g:,0.172,pingjunzhi:,0.00088392
non-markov,N:,3,t:,0.008,g:,0.176,pingjunzhi:,0.000934533
non-markov,N:,3,t:,0.008,g:,0.18,pingjunzhi:,0.001019256
non-markov,N:,3,t:,0.008,g:,0.184,pingjunzhi:,0.001021145
non-markov,N:,3,t:,0.008,g:,0.188,pingjunzhi:,0.001094961
non-markov,N:,3,t:,0.008,g:,0.192,pingjunzhi:,0.001108807
non-markov,N:,3,t:,0.008,g:,0.196,pingjunzhi:,0.001026055
non-markov,N:,3,t:,0.008,g:,0.2,pingjunzhi:,0.001161427
non-markov,N:,3,t:,0.008,g:,0.204,pingjunzhi:,0.001143952
non-markov,N:,3,t:,0.008,g:,0.208,pingjunzhi:,0.001204445
non-markov,N:,3,t:,0.008,g:,0.212,pingjunzhi:,0.001359971
non-markov,N:,3,t:,0.008,g:,0.216,pingjunzhi:,0.001334524
non-markov,N:,3,t:,0.008,g:,0.22,pingjunzhi:,0.001448557
non-markov,N:,3,t:,0.008,g:,0.224,pingjunzhi:,0.001585048
non-markov,N:,3,t:,0.008,g:,0.228,pingjunzhi:,0.001578704
non-markov,N:,3,t:,0.008,g:,0.232,pingjunzhi:,0.001214827
non-markov,N:,3,t:,0.008,g:,0.236,pingjunzhi:,0.00105381
non-markov,N:,3,t:,0.008,g:,0.24,pingjunzhi:,0.001142384
non-markov,N:,3,t:,0.008,g:,0.244,pingjunzhi:,0.001828062
non-markov,N:,3,t:,0.008,g:,0.248,pingjunzhi:,0.00201413
non-markov,N:,3,t:,0.008,g:,0.252,pingjunzhi:,0.001594062
non-markov,N:,3,t:,0.008,g:,0.256,pingjunzhi:,0.001767693
non-markov,N:,3,t:,0.008,g:,0.26,pingjunzhi:,0.001928278
non-markov,N:,3,t:,0.008,g:,0.264,pingjunzhi:,0.001100412
non-markov,N:,3,t:,0.008,g:,0.268,pingjunzhi:,0.001962231
non-markov,N:,3,t:,0.008,g:,0.272,pingjunzhi:,0.001931707
non-markov,N:,3,t:,0.008,g:,0.276,pingjunzhi:,0.002242049
non-markov,N:,3,t:,0.008,g:,0.28,pingjunzhi:,0.002155263
non-markov,N:,3,t:,0.008,g:,0.284,pingjunzhi:,0.001887676
non-markov,N:,3,t:,0.008,g:,0.288,pingjunzhi:,0.002272218
non-markov,N:,3,t:,0.008,g:,0.292,pingjunzhi:,0.002033728
non-markov,N:,3,t:,0.008,g:,0.296,pingjunzhi:,0.002509523
non-markov,N:,3,t:,0.008,g:,0.3,pingjunzhi:,0.00257752
non-markov,N:,3,t:,0.008,g:,0.304,pingjunzhi:,0.002312873
non-markov,N:,3,t:,0.008,g:,0.308,pingjunzhi:,0.002537606
non-markov,N:,3,t:,0.008,g:,0.312,pingjunzhi:,0.001892617
non-markov,N:,3,t:,0.008,g:,0.316,pingjunzhi:,0.001894405
non-markov,N:,3,t:,0.008,g:,0.32,pingjunzhi:,0.003293911
non-markov,N:,3,t:,0.008,g:,0.324,pingjunzhi:,0.003172115
non-markov,N:,3,t:,0.008,g:,0.328,pingjunzhi:,0.002360957
non-markov,N:,3,t:,0.008,g:,0.332,pingjunzhi:,0.002788102
non-markov,N:,3,t:,0.008,g:,0.336,pingjunzhi:,0.002557792
non-markov,N:,3,t:,0.008,g:,0.34,pingjunzhi:,0.003445609
non-markov,N:,3,t:,0.008,g:,0.344,pingjunzhi:,0.00331265
